match_id,season_id,home_team_id,away_team_id,match_date,home_team_score,away_team_score,match_status,attendance,referee
1,1,3,8,"2023-05-21 16:00:00",1,0,"completed",53400,"Simon Hooper"
2,1,2,8,"2023-05-20 14:00:00",1,1,"completed",53300,"John Brooks"
3,1,6,8,"2023-04-30 13:00:00",2,2,"completed",61800,"Paul Tierney"
4,1,5,4,"2023-05-02 19:00:00",3,1,"completed",60100,"Robert Jones"
5,1,1,4,"2023-05-04 19:00:00",4,1,"completed",73500,"Stuart Attwell"
6,2,9,16,"2023-05-20 19:00:00",1,2,"completed",91000,"Figueroa Vázquez"
7,2,11,15,"2023-05-28 17:00:00",2,1,"completed",64500,"Muñiz Ruiz"
8,2,10,14,"2023-06-04 16:30:00",1,1,"completed",79000,"Díaz de Mera"
9,3,17,19,"2023-05-20 13:30:00",1,3,"completed",75000,"Deniz Aytekin"
10,3,18,23,"2023-04-15 13:30:00",3,3,"completed",81300,"Daniel Schlager"
11,4,28,29,"2023-03-19 19:45:00",0,4,"completed",53000,"Simone Sozza"
12,4,26,25,"2023-04-09 19:45:00",0,1,"completed",41000,"Davide Massa"
13,5,33,34,"2023-05-07 18:00:00",3,2,"completed",55000,"Sergey Karasev"
14,5,35,36,"2023-04-23 19:30:00",1,1,"completed",25000,"Vitali Meshkov"
15,6,5,1,"2023-10-22 15:30:00",2,2,"completed",60300,"Chris Kavanagh"
16,6,4,5,"2023-09-02 14:00:00",0,1,"completed",40100,"Robert Jones"
17,6,3,6,"2023-11-12 16:30:00",4,4,"completed",53400,"Anthony Taylor"
18,7,11,10,"2023-09-16 19:00:00",3,1,"completed",67800,"Alberola Rojas"
19,7,9,10,"2023-10-28 14:15:00",1,2,"completed",98500,"Jesús Gil Manzano"
20,8,18,17,"2023-11-04 17:30:00",0,4,"completed",81365,"Deniz Aytekin"
21,8,21,17,"2023-09-02 16:30:00",2,2,"completed",30210,"Sven Jablonski"
22,9,29,25,"2023-09-23 17:00:00",1,2,"completed",75500,"Simone Sozza"
23,9,26,29,"2023-11-26 19:45:00",1,1,"completed",41000,"Marco Guida"
24,10,34,33,"2023-09-17 20:00:00",1,2,"completed",41000,"Sergey Ivanov"
25,10,35,33,"2023-11-04 19:30:00",1,1,"completed",27000,"Pavel Kukuyan"
26,11,3,10,"2023-06-10 20:00:00",1,0,"completed",71400,"Szymon Marciniak"
27,11,17,8,"2022-11-01 20:00:00",2,0,"completed",75000,"Clément Turpin"
28,11,9,17,"2022-11-26 20:00:00",0,3,"completed",92000,"Anthony Taylor"
29,11,25,6,"2022-10-25 20:00:00",4,0,"completed",74000,"István Kovács"
30,11,29,9,"2023-05-10 20:00:00",2,0,"completed",75500,"Jesús Gil Manzano"
31,12,17,8,"2023-09-20 20:00:00",4,3,"completed",74500,"Glenn Nyberg"
32,12,7,8,"2023-11-07 20:00:00",2,0,"completed",52000,"Alejandro Hernández"
33,12,9,19,"2023-11-28 20:00:00",2,1,"completed",50000,"István Kovács"
