player_id,team_id,first_name,last_name,birth_date,nationality,position_id,jersey_number,height,weight,joining_date,contract_end_date
1,1,David,De Pool,1990-11-07,Spanish,1,1,1.92,76,2011-07-01,2024-06-30,
2,1,Marcus,Rashford,1997-10-31,English,9,10,1.80,70,2015-07-01,2028-06-30,
3,1,Bruno,Fernandes,1994-09-08,Portuguese,7,8,1.79,69,2020-01-29,2026-06-30,
4,1,Casemiro,Santos,1992-02-23,Brazilian,5,18,1.85,84,2022-08-22,2026-06-30,
5,1,Lisandro,Martínez,1998-01-18,Argentinian,2,6,1.75,77,2022-07-27,2027-06-30,
6,1,Raphael,Varane,1993-04-25,French,2,19,1.91,81,2021-08-14,2025-06-30,
7,1,Christian,Eriksen,1992-02-14,Danish,6,14,1.82,76,2022-07-15,2025-06-30,
8,1,Antony,Santos,2000-02-24,Brazilian,8,21,1.72,63,2022-09-01,2027-06-30,
9,1,Mason,Mount,1999-01-10,English,7,7,1.80,70,2023-07-05,2028-06-30,
10,1,Luke,Shaw,1995-07-12,English,4,23,1.85,75,2014-06-27,2027-06-30,
11,1,Diogo,Dalot,1999-03-18,Portuguese,3,20,1.83,76,2018-06-06,2028-06-30,
12,2,Alisson,Becker,1992-10-02,Brazilian,1,1,1.91,91,2018-07-19,2027-06-30,
13,2,Virgil,van Dijk,1991-07-08,Dutch,2,4,1.93,92,2018-01-01,2025-06-30,
14,2,Mohamed,Salah,1992-06-15,Egyptian,8,11,1.75,71,2017-06-22,2025-06-30,
15,2,Trent,Alexander-Arnold,1998-10-07,English,3,66,1.80,69,2016-10-25,2027-06-30,
16,2,Andrew,Robertson,1994-03-11,Scottish,4,26,1.78,64,2017-07-21,2026-06-30,
17,2,Fabinho,Tavares,1993-10-23,Brazilian,5,3,1.88,78,2018-07-01,2026-06-30,
18,2,Thiago,Alcantara,1991-04-11,Spanish,6,6,1.74,70,2020-09-18,2024-06-30,
19,2,Darwin,Núñez,1999-06-24,Uruguayan,10,27,1.87,81,2022-06-14,2028-06-30,
20,2,Luis,Díaz,1997-01-13,Colombian,9,23,1.80,65,2022-01-30,2027-06-30,
21,2,Cody,Gakpo,1999-05-07,Dutch,9,18,1.93,76,2023-01-01,2028-06-30,
22,2,Ibrahima,Konaté,1999-05-25,French,2,5,1.94,95,2021-07-01,2026-06-30,
